	Treatment	Unassigned	o__Bacteroidales	g__Bacteroides	f__Rikenellaceae	f__S24-7	g__Lactobacillus	g__Turicibacter	o__Clostridiales	f__Clostridiaceae	g__Alkaliphilus	g__Clostridium	g__Dehalobacterium	f__Lachnospiraceae	g__Anaerostipes	g__Coprococcus	g__Dorea	g__Roseburia	g__Ruminococcus	f__Peptococcaceae	g__rc4-4	f__Peptostreptococcaceae	f__Ruminococcaceae	g__Oscillospira	g__Ruminococcus	f__Mogibacteriaceae	f__Erysipelotrichaceae	g__Allobaculum	g__Sutterella	g__Anaeroplasma	g__Akkermansia
70	0	0.316278355659617	0	0	0.000767665911795187	67.7242544044832	0.0391509615015545	0.809119871032127	19.8549111426707	0.0337773001189882	0	0.0153533182359037	0.0268683069128315	2.42045061989023	0.828311518827006	0.129735539093387	0.00537366138256631	0.00844432502974705	0.167351168771351	0	0	0	3.57655548305378	2.65612405481135	0.389974283191955	0.00460599547077112	0.0514336160902775	0.012282654588723	0	0.90431044409473	0.024565309177446
7071	0	1.93148902503613	0.0850012096325986	2.22833940329151	0	61.2113326228104	0.0137309646329582	0.195502782154977	21.8963116013574	0.041846749357587	0	0	0.0470775930272854	4.59660387474744	0.0104616873393968	0.0961167524307077	0.00326927729356149	0	0.21904157866862	0	0	0	3.615820686679	3.17839138480048	0.196810493072401	0.0124232537155336	0.00392313275227378	0.11965554894435	0.290965679126972	0.00196156637613689	0.00392313275227378
76	0	0.323853860945248	0	0	0	44.4500669073081	0.122569690427195	0.585860630390536	13.8796118251639	0.0314857920363436	0	0.0416062251908826	0.0112449257272656	2.91356025593451	1.17959270879016	0.224898514545311	0.00674695543635934	0.0899594058181246	0.0719675246544997	0	0	0	3.00689313947081	2.39067120961666	0.582487152672357	0.00112449257272656	0.0123694182999921	0.0562246286363279	0	0.127067660718101	29.8901370756446
7067	0	2.39070400666601	0.0598757407630856	2.58216977845976	0	39.9758220392812	0.00364263061676566	0.226753755893663	21.4803650826536	0.0491755133263364	0	0.00409795944386137	0.029596373761221	1.17315472301209	0.0229941057683332	0.0357433129270131	0.0084235833012706	0	0.0539564660108414	0	0	0	1.93992846784127	2.15165637244077	0.262269404407128	0.0134322003993234	0.0113832206773927	0.0223111125276897	0.133411346339042	0.00113832206773927	27.3679944814146
49	0	0.974136194148283	0.00193198848534863	0	0	30.8600660740062	0.00662396052119529	0.137033183282228	21.1358160305365	0.100463401238129	0	0.0216658708714096	0.107777357646948	2.74231965577485	0.109433347777247	0.244672541751651	0.00179398930782373	0.0220798684039843	0.228250639626188	0	0	0	5.68680810662368	14.078538091913	2.47943122258991	0.0482997121337157	0.0120059284446665	0.0516116923943133	0	0.381843724211404	20.5673974183114
7070	0	1.59258276388244	0.0228886087706495	0.831619452000265	0	19.9936973396139	0.0149273535460758	0.162542294168381	48.783254826511	0.0971936575333378	0	0	0.0908909971472169	8.24918728852916	0.00995156903071718	0.0819345850195714	0.0222251708352684	0	0.556624427784781	0	0	0	7.01088038214025	10.079280833278	1.07808664499436	0.055065348636635	0.00265375174152458	0.350295229881245	0.0640217607642805	0	0.850195714190937
7047	0	1.70057710939804	0	7.53696448881587	0	19.3095749610346	0.0042124773579342	0.0353848098066473	47.2425123214963	0.0244323686760184	0	0.0467584986730696	0.0522347192383841	1.47478832301277	0.0286448460339526	0.026117359619192	0.00252748641476052	0	0.59859303256245	0	0.997935886094612	0	3.50646615274443	14.0915792577615	2.85690214415097	0.0084249547158684	0	0	0.066135894519567	0.0766670879144025	0.312565819958718
7072	1	2.05558945094064	0.0142207705822717	0.413319815955705	0	64.7219380616631	0.00137620360473598	0.214687762338812	24.4542205870884	0.0247716648852476	0	0	0.0440385153515512	4.16026349711685	0.00504607988403191	0.0743149946557427	0.00458734534911992	0	0.174777857801469	0.00321114174438394	0	0	0.916092866219248	1.96842988930736	0.35689546816153	0.00688101802367988	0.133033015124478	0.140372767683069	0.0110096288378878	0	0.100921597680638
7073	1	1.92428580152233	0.0211933661171957	0.669925895060509	0	58.2921739005492	0.00359209595206707	0.236359913646013	27.4529525232678	0.047774876162492	0	0.00251446716644695	0.0793853205406823	6.25168379497753	0.0197565277363689	0.0387946362823244	0.00682498230892744	0	0.21049682279113	0.012213126237028	0	0	0.59018136492462	2.9081608827935	0.779484821598554	0.0190381085459555	0.0118539166418213	0.166314042580705	0.255038812596762	0	0
72	1	0.116538407442384	0	0	0	57.7417669633708	0.135626594868292	0.307420281701461	21.5636239426149	0.00803713154775061	0	0.00602784866081296	0.0492274307299725	3.48309188450642	1.15935622576303	0.771564628584058	0.0040185657738753	0	0.166770479615825	0	0	0	4.47869155498402	5.49036548855713	2.35789346782133	0.00502320721734413	0.046213506399566	0.133617311981354	0	1.96708794631196	0.00803713154775061
74	1	0.109046808597373	0	0	3.80135136512337	53.8782956085729	0.0703199046095207	0.582941817922404	26.287414775333	0.0428034201970996	0	0.00305738715693568	0.0417842911447877	2.06271720187927	0.631860012433374	0.608420044230201	0.0122295486277427	0.154907615951408	0.131467647748234	0	0	0	3.65459678159046	4.47907218491078	0.996708213161033	0.00407651620924758	0.00611477431387137	0.0784729370280159	0	1.53277009467709	0.829571048581882
46	1	0.472245158286681	3.12805004713057	0	0	51.2730472652266	0.019207141716346	0.258670093332095	15.9901542521376	0.0381011235134038	0	0.0018789595157295	0.088102323959761	2.33001418614434	0.012943943330581	0.194889856437054	0.00135702631691575	0.0927997227490848	0.120357795646451	0	0	0	1.4790542987984	9.93364141310282	1.62185522199385	0.0239045405056698	0.00762022470268075	0.0253659534623483	0	0.13893861752422	12.7478008344668
44	1	2.19368468789837	0	0	0	45.2759596160706	0.000829579486158466	0.0141028512646939	17.013845681624	0.069408150341925	0	0.00691316238465389	0.0633245674434296	2.27747221600037	0.0251639110801401	1.08426038840912	0.000553052990772311	0	0.20214086812728	0	0	0	2.66488583603638	12.4024898445645	2.33803151848994	0.028482229024774	0.0174211692093278	0.18195443396409	0	0.74081448113951	13.39826175445
7066	1	2.08535434525813	0.014518289745468	0.313023125875772	0	31.8808444365254	0.002419714957578	0.22987292096991	12.0719579233567	0.0283766572297783	0	0.00351958539284072	0.0222173827923071	4.9269796018029	0.0202376160088342	0.0530137549796634	0.002419714957578	0	0.065772252028711	0	0	0	0.263968904463055	1.2877283056056	0.087549686646913	0.0092389116562069	0.00417950765399836	0.100748131870066	0.0901893756915435	0	46.4358698545311
68	2	0.0490402129746392	0.00700574471066274	0	4.50469384895614	66.088692728037	0.336275746111812	0.742608939330251	13.5333473448227	0.0595488300406333	0	0.0805660641726215	0.0420344682639765	2.50455373406194	1.29255989911728	0.620008406893653	0.0297744150203167	0.00350287235533137	0.246952501050862	0	0	0	2.95817570407734	3.76033347344823	0.770631918172902	0.00525430853299706	0.0455373406193078	0	0	0.392321703797114	1.92657979543225
48	2	0.726516903719386	0	0	0	53.8181203248134	0.0161614691310588	0.349344604263417	22.302934430458	0.0935438676857311	0	0.00139138475962758	0.0689270604000124	2.22503828983829	0.0648599357180241	0.0492336145714374	0.00492336145714374	0.0966477259956696	0.188372090534195	0	0	0	1.4313067992692	16.3753142656539	1.63937233563197	0.0269714584173962	0.0128435516273315	0.052872620865848	0	0.32526294496217	0.130040960226732
73	2	0.49104747701625	0	0	0	38.4772072129418	0.29553783338941	0.270985459538597	31.9771935727341	0.0354645400067292	0	0.0809318989897153	0.0245523738508125	3.31911720575799	2.21971646554938	0.267348070819958	0.00636543025761806	0.0554701779592431	0.120943174894743	0	0	0	6.19720102938101	3.51280815502551	1.31218798024898	0	0.0527421364202639	0	0	0.168229228237049	11.1149505769808
